iter	MultiClass
452	0.1560597771
453	0.1558279075
454	0.1555692406
455	0.155290243
456	0.1550905848
457	0.1549217755
458	0.1546746939
459	0.1545488701
460	0.1543408188
461	0.1542546611
462	0.1540236812
463	0.153813967
464	0.1537307044
465	0.1534817241
466	0.1532461287
467	0.153059736
468	0.1528920186
469	0.1526849672
470	0.1525099901
471	0.1522472795
472	0.1519493627
473	0.1516843589
474	0.1515839894
475	0.1513789851
476	0.1511115523
477	0.1508944774
478	0.1505816212
479	0.1504213319
480	0.150197661
481	0.1498608416
482	0.1496612044
483	0.1495030926
484	0.1493099007
485	0.1491048432
486	0.1488613215
487	0.148589454
488	0.1484141479
489	0.1481082643
490	0.1479982219
491	0.1478313624
492	0.1475139719
493	0.1471873476
494	0.1470458475
495	0.1469507585
496	0.1467619832
497	0.1465957618
498	0.146442026
499	0.1462286536
